City,CODIGO,production_value,soy_production,average_yield,number_of_establishments
Pantano Grande,4313953,63851,61426,2.87763515412724,76
Paraí,4314001,5513,5317,4.01283018867925,98
Paraíso do Sul,4314027,4348,4036,2.69066666666667,56
Passa Sete,4314068,18191,17943,3.35320500840964,204
Passo Fundo,4314100,154837,146297,3.73482933803069,589
Passo do Sobrado,4314076,15957,15520,3.13282196205087,45
Paulo Bento,4314134,23768,22538,3.59629806925164,227
Paverama,4314159,1084,976,3.4006968641115,26
Pedras Altas,4314175,68501,62450,2.93288874277932,98
Pedro Osório,4314209,36383,32891,2.98168797026561,35
Pejuçara,4314308,115924,116794,3.81954346262018,222
Pelotas,4314407,67808,62050,2.950125992488,270
Pinhal,4314456,3335,3237,2.92148014440433,79
Pinhal Grande,4314472,72335,68281,3.68032124184768,345
Pinhal da Serra,4314464,20296,19682,3.35469575592296,124
Pinheirinho do Vale,4314498,881,931,1.97245762711864,46
Pinheiro Machado,4314506,16680,15496,2.7996386630533,35
Pirapó,4314555,12754,12793,2.87677085675736,82
Piratini,4314605,101960,93213,3.02178493856777,211
Planalto,4314704,3454,3488,3.02253032928943,95
Ponte Preta,4314787,14781,14133,3.50086698043101,209
Pontão,4314779,139445,127776,3.96352131025498,389
Porto Lucena,4315008,11594,11854,3.0488683127572,282
Porto Mauá,4315057,8719,8910,2.82767375436369,212
Porto Vera Cruz,4315073,642,661,2.67611336032389,28
Porto Xavier,4315107,3193,3287,2.76916596461668,87
Pouso Novo,4315131,129,126,3.31578947368421,5
Protásio Alves,4315172,6960,6583,3.53544575725027,129
Putinga,4315206,654,655,3.275,10
Quatro Irmãos,4315313,58272,52512,3.95302619692864,184
Quevedos,4315321,73308,71217,3.64299964192542,118
Quinze de Novembro,4315354,34493,33330,3.75042196466749,313
Redentora,4315404,33732,34657,3.01916543252897,330
Relvado,4315453,621,608,3.37777777777778,8
Restinga Seca,4315503,76326,75046,3.1117469005266,467
Rio Grande,4315602,17543,15126,3.2039822071595,20
Rio Pardo,4315701,186488,174771,3.05757522743177,387
Rio dos Índios,4315552,22771,21740,3.43281225327649,238
Roca Sales,4315800,5205,5106,3.54091539528433,124
Rodeio Bonito,4315909,5616,5666,2.50044130626655,185
Rolador,4315958,29297,29737,3.17127012903914,268
Ronda Alta,4316105,106282,103781,3.77811350977466,528
Rondinha,4316204,43092,40973,3.56628079032118,539
Roque Gonzales,4316303,20980,20947,3.10602016607355,289
Rosário do Sul,4316402,144032,134991,2.70371334722,144
Sagrada Família,4316428,11631,11436,3.3458162668227,161
Saldanha Marinho,4316436,61753,59782,4.22726629896761,222
Salto do Jacuí,4316451,102198,94229,3.57904132482528,288
Salvador das Missões,4316477,10472,10536,3.32261116367077,156
Sananduva,4316600,86601,82994,3.63849188952214,1028
Sant'Ana do Livramento,4317103,119059,115231,2.62419439320444,418
Santa Bárbara do Sul,4316709,318253,305798,4.01220200217799,549
